20260831
C0000309;Parâmetro;DOMINIO;14;0;S;CDI
C0000310;Fonte parâmetro;DOMINIO;11;0;S;BLOOMBERG
C0000310;Fonte parâmetro;DOMINIO;11;0;S;SISBACEN
C0000310;Fonte parâmetro;DOMINIO;11;0;S;REUTERS
C0000310;Fonte parâmetro;DOMINIO;11;0;S;BMFBOVESPA
C0000310;Fonte parâmetro;DOMINIO;11;0;S;CETIP
C0000310;Fonte parâmetro;DOMINIO;11;0;S;N/A
C0000311;Taxa parâmetro;NUMERICO;10;4;S;
C0000312;Base da taxa parâmetro;DOMINIO;3;0;S;252
C0000312;Base da taxa parâmetro;DOMINIO;3;0;S;360
C0000312;Base da taxa parâmetro;DOMINIO;3;0;S;N/A
C0000313;Expressão da taxa parâmetro;DOMINIO;11;0;S;N/A
C0000313;Expressão da taxa parâmetro;DOMINIO;11;0;S;LINEAR
C0000313;Expressão da taxa parâmetro;DOMINIO;11;0;S;EXPONENCIAL
C0000314;Parâmetro Fixo;NUMERICO;10;2;S;
C0000315;Percentual de Lotes;NUMERICO;3;2;S;
C0000316;Percentual CDI Minimo;NUMERICO;3;2;S;
C0000317;Percentual CDI Maximo;NUMERICO;3;2;S;
C0000318;Index;DOMINIO;15;0;S;USD
C0000318;Index;DOMINIO;15;0;S;TAXA PREFIXADA
C0000318;Index;DOMINIO;15;0;S;CDI
C0000319;Percentual do Index;NUMERICO;10;4;S;
C0000320;Cotação do Index;NUMERICO;10;8;S;
C0000321;Fonte do Index;DOMINIO;8;0;S;BLOOMBERG
C0000321;Fonte do Index;DOMINIO;8;0;S;SISBACEN
C0000321;Fonte do Index;DOMINIO;8;0;S;REUTERS
C0000321;Fonte do Index;DOMINIO;8;0;S;BMFBOVESPA
C0000321;Fonte do Index;DOMINIO;8;0;S;CETIP
C0000321;Fonte do Index;DOMINIO;8;0;S;N/A
C0000322;Parâmetro Adicional;DOMINIO;8;0;S;USD
C0000322;Parâmetro Adicional;DOMINIO;8;0;S;TAXA PREFIXADA
C0000322;Parâmetro Adicional;DOMINIO;8;0;S;CDI
C0000323;Percentual Param Adicional;NUMERICO;10;4;S;
C0000324;Cotação do param Adicional;NUMERICO;10;8;S;
C0000325;Fonte Param Adicional;DOMINIO;15;0;S;BLOOMBERG
C0000325;Fonte Param Adicional;DOMINIO;15;0;S;SISBACEN
C0000325;Fonte Param Adicional;DOMINIO;15;0;S;REUTERS
C0000325;Fonte Param Adicional;DOMINIO;15;0;S;BMFBOVESPA
C0000325;Fonte Param Adicional;DOMINIO;15;0;S;CETIP
C0000325;Fonte Param Adicional;DOMINIO;15;0;S;N/A
C0000326;Forward Pior;NUMERICO;10;4;S;
C0000327;Forward Melhor;NUMERICO;10;4;S;
C0000328;Correção Valor desembolsado;NUMERICO;10;4;S;
C0000329;Data de Verific Inicial 1;DATA;8;0;S;
C0000330;Data de Verific Final 1;DATA;8;0;S;
C0000331;Valor Multiplicador;NUMERICO;10;4;S;
C0000332;Valor Multiplicador 1;NUMERICO;10;2;S;
C0000333;Conversão Moeda;DOMINIO;3;0;S;USD
C0000333;Conversão Moeda;DOMINIO;3;0;S;EUR
C0000334;Fonte Conversão Moeda;DOMINIO;12;0;S;BLOOMBERG
C0000334;Fonte Conversão Moeda;DOMINIO;12;0;S;SISBACEN
C0000334;Fonte Conversão Moeda;DOMINIO;12;0;S;REUTERS
C0000334;Fonte Conversão Moeda;DOMINIO;12;0;S;BMFBOVESPA
C0000334;Fonte Conversão Moeda;DOMINIO;12;0;S;CETIP
C0000334;Fonte Conversão Moeda;DOMINIO;12;0;S;N/A
C0000335;Data Conversão Moeda;DATA;8;8;S;
C0000336;Limite Verificador Indicador_1;NUMERICO;10;4;S;
C0000337;Percentual Parâmetro;NUMERICO;3;2;S;
C0000338;Limite Verificador Indicador_2;NUMERICO;10;4;S;
C0000339;valor multiplicador 2;NUMERICO;10;4;S;
C0000340;Limite Verificador Indicador_3;NUMERICO;10;4;S;
C0000341;valor multiplicador 3;NUMERICO;10;4;S;
C0000342;Base taxa Cupom_1;DOMINIO;1;0;N;252
C0000342;Base taxa Cupom_1;DOMINIO;1;0;N;360
C0000342;Base taxa Cupom_1;DOMINIO;1;0;N;N/A
C0000343;Base taxa Cupom_2;DOMINIO;1;0;N;252
C0000343;Base taxa Cupom_2;DOMINIO;1;0;N;360
C0000343;Base taxa Cupom_2;DOMINIO;1;0;N;N/A
C0000344;Expressão Taxa Cupom_1;DOMINIO;1;0;N;N/A
C0000344;Expressão Taxa Cupom_1;DOMINIO;1;0;N;LINEAR
C0000344;Expressão Taxa Cupom_1;DOMINIO;1;0;N;EXPONENCIAL
C0000345;Expressão Taxa Cupom_2;DOMINIO;1;0;N;N/A
C0000345;Expressão Taxa Cupom_2;DOMINIO;1;0;N;LINEAR
C0000345;Expressão Taxa Cupom_2;DOMINIO;1;0;N;EXPONENCIAL
