BCO MERCANTIL DO BRASIL S/A                                                                         ;MERCANBRBM          ;73890.40-5;MECBM;17.184.037/0001-10;
BCO RIBEIRAO PRETO S/A                                                                              ;RIBEIRAOPRETOBM     ;77410.40-3;BRP M;00.517.645/0001-04;
BCO VOLKSWAGEN S/A                                                                                  ;VOLKSWAGENBM        ;79010.40-9;VOLKM;59.109.165/0001-49;
BCO VOTORANTIM S/A                                                                                  ;VOTORANTIMBM        ;76550.40-5;VOTRM;59.588.111/0001-03;
BCO.NACIONAL DESENV.ECON.SOCIAL - BNDES                                                             ;BNDESBD             ;00074.40-7;BNDED;33.657.248/0001-89;
BR PARTNERS BANCO DE INVESTIMENTO S.A.                                                              ;BRPARTNERSBI        ;16595.40-6;BRPARTNERSBI;13.220.493/0001-17;
BRB - BCO DE BRASILIA S/A                                                                           ;BRBBM               ;70700.40-2;BRBBM;00.000.208/0001-00;
CAIXA ECONOMICA FEDERAL                                                                             ;CEFCE               ;71040.40-8;CEF M;00.360.305/0001-04;
CITIBANK N A FILIAL BRASILEIRA                                                                      ;CITIBANKBC          ;04770.40-8;CITIC;33.042.953/0001-71;
DEUTSCHE BANK S/A - BANCO ALEMAO                                                                    ;DEUTSCHEBM          ;74870.40-0;DEUTM;62.331.228/0001-11;
GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S/A                                                          ;GOLDMANSACHSBM      ;72900.40-6;GOLDMANSACHSBM;04.332.281/0001-30;
HAITONG BANCO DE INVESTIMENTO DO BRASIL S/A                                                         ;HAITONGBI           ;56941.40-5;BES I;34.111.187/0001-12;
ITAU UNIBANCO HOLDING S.A                                                                           ;ITAUHOLDINGBM       ;70460.40-5;BFBMM;60.872.504/0001-23;
ITAU UNIBANCO S.A.                                                                                  ;ITAUBM              ;73410.40-7;ITAUM;60.701.190/0001-04;
ITAU UNIBANCO S.A.                                                                                  ;ITAUBM              ;71840.40-2;BBA M;60.701.190/0001-04;
JPMORGAN CHASE BANK NATIONAL ASSOCIATION                                                            ;MORGANBC            ;04880.40-8;MORGC;46.518.205/0001-64;
MASSA FALIDA DO BANCO BVA S/A                                                                       ;BVABM               ;79240.40-6;BVABM;32.254.138/0001-03;
NOVO BANCO CONTINENTAL S.A. BANCO MULTIPLO                                                          ;NBCBM               ;07530.40-1;BCURC;74.828.799/0001-45;
OMNI BANCO S/A                                                                                      ;OMNIBM              ;76130.40-9;PECUM;60.850.229/0001-47;
OURIBANK S.A. BANCO MULTIPLO                                                                        ;OURINVESTBM         ;79790.40-6;OURIM;78.632.767/0001-20;
PARANA BANCO S/A                                                                                    ;PARANABM            ;72540.40-2;PARNM;14.388.334/0001-99;
SCOTIABANK BRASIL S/A BANCO MULTIPLO                                                                ;SCOTIABANKBM        ;77510.40-6;DREBM;29.030.467/0001-66;
SOCIAL BANK BANCO MULTIPLO SA                                                                       ;SOCIALBANKBM        ;74120.40-4;CAPTM;15.173.776/0001-80;
STELLANTIS FINANCIAMENTOS SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO S.A.                    ;STELLANTISCFI       ;70090.40-4;PSA M;03.502.961/0001-92;
