FIGURA;TITULO;ORDEM;CAMPO;DESCRICAO
COE001004;COE001004 - Put KO;5;Rebate no Cenário de Baixa (%);Campo de preenchimento obrigatório. Formato: numérico com 4 inteiros e 4 decimais, maior ou igual a zero. Indica o percentual a ser aplicado sobre o VFE quando detectado que a cotação for maior que a barreira no período de verificação.
COE001004;COE001004 - Put KO;6;Tipo de Cotação para Verificação de Barreiras no Cenário de Baixa;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Indicação de qual será a cotação a ser considerada. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001004;COE001004 - Put KO;7;Período de captura do ativo subjacente para liquidação;Campo de preenchimento obrigatório. Campo com as opções: Data Única, Janela de Datas e Mais Datas. Indica como será formado o fixing no vencimento. Caso o ativo subjacente seja uma Cesta,não é permitido selecionar a opção “Janela de Datas” Se indicado Janela de Datas ou Mais Datas, será obrigatório o preenchimento do campo “Tipo de Fixing para Vencimento”. Caso seja indicado “Mais Datas” as datas serão indicadas na seção “Mais Datas”.
COE001004;COE001004 - Put KO;8;Data inicial para fixing;"Campo de preenchimento obrigatório, se indicado ""Janela de datas"". Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. É possível escolher uma data maior ou igual à “Data de Emissão” (ou “Emissão a Termo”), e menor que “Data Final para Fixing”."
COE001004;COE001004 - Put KO;9;Data final para fixing;"Campo de preenchimento obrigatório, se indicado ""Janela de datas"". Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Esta data deve ser posterior à indicada no campo “Data Inicial para Fixing”, sendo que o prazo máximo de dias entre a “Data Final para Fixing” e o vencimento é de 5 dias úteis e o prazo mínimo entre estas datas é 1 dia útil."
COE001004;COE001004 - Put KO;10;Data para fixing;"Campo de preenchimento obrigatório, se indicado ""Data única"". Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001004;COE001004 - Put KO;11;Tipo de Cotação para Liquidação;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Indicação de qual será a cotação a ser considerada na liquidação da operação. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001004;COE001004 - Put KO;12;Período de Pagamento;"Campo de preenchimento obrigatório. Campo com as opções: Ato e Vencimento. Se indicado “Ato” e houver disparo do trigger, o pagamento do COE será antecipado 'a data do disparo. Se indicado ""Vencimento"" e houver disparo do trigger, o contrato será marcado sendo o pagamento efetuado apenas no vencimento."
COE001004;COE001004 - Put KO;13;Período de Verificação de Barreiras;Campo de preenchimento obrigatório. Campo com as opções: Americana e Europeia. Se indicado “Europeia” apenas a “Data para Fixing” pode ser preenchido. Se indicado “Americana” apenas a “Data Inicial para Verificação” e “Data Final para Verificação” podem ser preenchidos.
COE001004;COE001004 - Put KO;14;Data Inicial para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. A partir de D+1 da “Data de Emissão” (ou “Emissão a Termo”) e menor que “Data Final para Verificação” Formato: DD/MM/AAAA.
COE001004;COE001004 - Put KO;15;Data Final para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. Essa data deve ser posterior à indicada no campo “Data Inicial para Verificação”, sendo que o prazo mínimo de dias entre as datas deve ser de 1 dia útil. Formato: DD/MM/AAAA.
COE001004;COE001004 - Put KO;16;Tipo de Fixing para Vencimento;Campo de preenchimento obrigatório quando no campo “Período de captura do ativo subjacente para liquidação” for selecionado “Janela de Datas” ou “Mais Datas” . Campo com os domínios: Máxima no Período, Mínima no Período e Média no Período Indica como será formado o fixing para o vencimento do COE. • Máximo no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a maior cotação do intervalo como fixing do evento. • Mínimo no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a menor cotação do intervalo como fixing do evento. • Média no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a média de todas as cotações do intervalo como fixing do evento.
COE001005;COE001005 - Call Spread;1;Strike 1 (%);Campo de preenchimento obrigatório. Formato: Numérico percentual com 4 inteiros e 8 decimais, maior que 0. Percentual aplicado sobre o Valor Inicial do Ativo Subjacente.
